边ID	A	B	类型	宽m	长m	Nav	方向
MAP_EDGE_0312	N158	N130	SIDEDOOR	4.5	48.2	是	BIDIRECTIONAL
MAP_EDGE_0313	N037	N159	MAIN	12	58.9	是	BIDIRECTIONAL
MAP_EDGE_0314	N159	N019	MAIN	12	58.9	是	BIDIRECTIONAL
MAP_EDGE_0315	N159	N106	SIDEDOOR	4.5	38.8	是	BIDIRECTIONAL
MAP_EDGE_0316	N010	N160	SIDE	7	49.5	是	BIDIRECTIONAL
MAP_EDGE_0317	N160	N038	SIDE	7	49.5	是	BIDIRECTIONAL
MAP_EDGE_0318	N160	N123	BREACH	4	47.3	是	BIDIRECTIONAL
MAP_EDGE_0319	N038	N161	SIDE	7	31.8	是	BIDIRECTIONAL
MAP_EDGE_0320	N161	N031	SIDE	7	31.8	是	BIDIRECTIONAL
MAP_EDGE_0321	N161	N143	SIDEDOOR	4.5	46	是	BIDIRECTIONAL
MAP_EDGE_0322	N031	N162	SIDE	7	50.6	是	BIDIRECTIONAL
MAP_EDGE_0323	N162	N039	SIDE	7	50.6	是	BIDIRECTIONAL
MAP_EDGE_0324	N162	N143	SIDEDOOR	4.5	50.7	是	BIDIRECTIONAL
MAP_EDGE_0325	N039	N163	SIDE	7	45.9	是	BIDIRECTIONAL
MAP_EDGE_0326	N163	N013	SIDE	7	45.9	是	BIDIRECTIONAL
MAP_EDGE_0327	N163	N125	SIDEDOOR	4.5	50.7	是	BIDIRECTIONAL
MAP_EDGE_0328	N012	N164	SIDE	7	48.2	是	BIDIRECTIONAL
MAP_EDGE_0329	N164	N040	SIDE	7	48.2	是	BIDIRECTIONAL
MAP_EDGE_0330	N164	N124	SIDEDOOR	4.5	24	是	BIDIRECTIONAL
MAP_EDGE_0331	N040	N165	SIDE	7	44.4	是	BIDIRECTIONAL
MAP_EDGE_0332	N165	N023	SIDE	7	44.4	是	BIDIRECTIONAL
MAP_EDGE_0333	N165	N078	SIDEDOOR	4.5	24.9	是	BIDIRECTIONAL
MAP_EDGE_0334	N003	N166	SIDE	7	42.6	是	BIDIRECTIONAL
MAP_EDGE_0335	N166	N041	SIDE	7	42.6	是	BIDIRECTIONAL
MAP_EDGE_0336	N166	N084	SIDEDOOR	4.5	26.8	是	BIDIRECTIONAL
MAP_EDGE_0337	N041	N167	SIDE	7	34	是	BIDIRECTIONAL
MAP_EDGE_0338	N167	N033	SIDE	7	34	是	BIDIRECTIONAL
MAP_EDGE_0339	N167	N151	SIDEDOOR	4.5	25.7	是	BIDIRECTIONAL
MAP_EDGE_0340	N005	N168	SIDE	7	45.3	是	BIDIRECTIONAL
MAP_EDGE_0341	N168	N034	SIDE	7	45.3	是	BIDIRECTIONAL
MAP_EDGE_0342	N168	N054	SIDEDOOR	4.5	18.7	是	BIDIRECTIONAL
MAP_EDGE_0343	N034	N169	SIDE	7	30.4	是	BIDIRECTIONAL
MAP_EDGE_0344	N169	N006	SIDE	7	30.4	是	BIDIRECTIONAL
MAP_EDGE_0345	N169	N168	SIDEDOOR	4.5	35.9	是	BIDIRECTIONAL
MAP_EDGE_0346	N007	N170	SIDE	7	43	是	BIDIRECTIONAL
MAP_EDGE_0347	N170	N037	SIDE	7	43	是	BIDIRECTIONAL
MAP_EDGE_0348	N170	N121	SIDEDOOR	4.5	66.3	是	BIDIRECTIONAL
MAP_EDGE_0349	N037	N171	SIDE	7	35.2	是	BIDIRECTIONAL
MAP_EDGE_0350	N171	N042	SIDE	7	35.2	是	BIDIRECTIONAL
MAP_EDGE_0351	N171	N148	SIDEDOOR	4.5	22.7	是	BIDIRECTIONAL
MAP_EDGE_0352	N042	N172	SIDE	7	57.7	是	BIDIRECTIONAL
MAP_EDGE_0353	N172	N009	SIDE	7	57.7	是	BIDIRECTIONAL
MAP_EDGE_0354	N172	N100	SIDEDOOR	4.5	17.1	是	BIDIRECTIONAL
MAP_EDGE_0355	N019	N173	SIDE	7	37	是	BIDIRECTIONAL
MAP_EDGE_0356	N173	N043	SIDE	7	37	是	BIDIRECTIONAL
MAP_EDGE_0357	N173	N132	SIDEDOOR	4.5	56.7	是	BIDIRECTIONAL
MAP_EDGE_0358	N043	N174	SIDE	7	54.1	是	BIDIRECTIONAL
MAP_EDGE_0359	N174	N030	SIDE	7	54.1	是	BIDIRECTIONAL
MAP_EDGE_0360	N174	N090	SIDEDOOR	4.5	32.6	是	BIDIRECTIONAL
MAP_EDGE_0361	N024	N175	SIDE	7	57.9	是	BIDIRECTIONAL
MAP_EDGE_0362	N175	N044	SIDE	7	57.9	是	BIDIRECTIONAL
MAP_EDGE_0363	N175	N079	SIDEDOOR	4.5	32.2	是	BIDIRECTIONAL
MAP_EDGE_0364	N044	N176	SIDE	7	44.7	是	BIDIRECTIONAL
MAP_EDGE_0365	N176	N045	SIDE	7	44.7	是	BIDIRECTIONAL
MAP_EDGE_0366	N176	N175	BREACH	4	93.3	是	BIDIRECTIONAL
MAP_EDGE_0367	N026	N177	SIDE	7	44	是	BIDIRECTIONAL
MAP_EDGE_0368	N177	N046	SIDE	7	44	是	BIDIRECTIONAL
MAP_EDGE_0369	N177	N137	SIDEDOOR	4.5	72.2	是	BIDIRECTIONAL
MAP_EDGE_0370	N004	N178	MAIN	12	32	是	BIDIRECTIONAL
MAP_EDGE_0371	N178	N144	MAIN	12	32	是	BIDIRECTIONAL
MAP_EDGE_0372	N178	N154	SIDEDOOR	4.5	49.6	是	BIDIRECTIONAL
MAP_EDGE_0373	N144	N179	MAIN	12	32	是	BIDIRECTIONAL
MAP_EDGE_0374	N179	N014	MAIN	12	32	是	BIDIRECTIONAL
MAP_EDGE_0375	N179	N126	SIDEDOOR	4.5	36.9	是	BIDIRECTIONAL
MAP_EDGE_0376	N006	N180	MAIN	12	33.3	是	BIDIRECTIONAL
MAP_EDGE_0377	N180	N146	MAIN	12	33.3	是	BIDIRECTIONAL
MAP_EDGE_0378	N180	N119	SIDEDOOR	4.5	33.7	是	BIDIRECTIONAL
MAP_EDGE_0379	N146	N181	MAIN	12	33.3	是	BIDIRECTIONAL
MAP_EDGE_0380	N181	N017	MAIN	12	33.3	是	BIDIRECTIONAL
MAP_EDGE_0381	N181	N158	SIDEDOOR	4.5	48.9	是	BIDIRECTIONAL
MAP_EDGE_0382	N017	N182	MAIN	12	41.5	是	BIDIRECTIONAL
MAP_EDGE_0383	N182	N147	MAIN	12	41.5	是	BIDIRECTIONAL
MAP_EDGE_0384	N182	N061	SIDEDOOR	4.5	30.7	是	BIDIRECTIONAL
MAP_EDGE_0385	N147	N183	MAIN	12	41.5	是	BIDIRECTIONAL
MAP_EDGE_0386	N183	N027	MAIN	12	41.5	是	BIDIRECTIONAL
MAP_EDGE_0387	N183	N063	SIDEDOOR	4.5	15.3	是	BIDIRECTIONAL
MAP_EDGE_0388	N008	N184	MAIN	12	56.1	是	BIDIRECTIONAL
MAP_EDGE_0389	N184	N148	MAIN	12	56.1	是	BIDIRECTIONAL
MAP_EDGE_0390	N184	N042	SIDEDOOR	4.5	41.7	是	BIDIRECTIONAL
MAP_EDGE_0391	N148	N185	MAIN	12	56.1	是	BIDIRECTIONAL
MAP_EDGE_0392	N185	N019	MAIN	12	56.1	是	BIDIRECTIONAL
MAP_EDGE_0393	N185	N106	SIDEDOOR	4.5	25.1	是	BIDIRECTIONAL
MAP_EDGE_0394	N019	N186	MAIN	12	42.8	是	BIDIRECTIONAL
MAP_EDGE_0395	N186	N149	MAIN	12	42.8	是	BIDIRECTIONAL
MAP_EDGE_0396	N186	N173	SIDEDOOR	4.5	25	是	BIDIRECTIONAL
MAP_EDGE_0397	N149	N187	MAIN	12	42.8	是	BIDIRECTIONAL
MAP_EDGE_0398	N187	N029	MAIN	12	42.8	是	BIDIRECTIONAL
MAP_EDGE_0399	N187	N140	SIDEDOOR	4.5	39.4	是	BIDIRECTIONAL
MAP_EDGE_0400	N034	N188	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0401	N188	N153	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0402	N188	N189	POCKET	4	14	是	BIDIRECTIONAL
MAP_EDGE_0403	N153	N190	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0404	N190	N007	MAIN	12	35.9	是	BIDIRECTIONAL
MAP_EDGE_0405	N190	N191	POCKET	4	14	是	BIDIRECTIONAL
